web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576031083-7505","https://losestudiantes.co/","Luis Orlando Silva ArdilaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-orlando-silva-ardila","Es una clase facil, puede llegar a ser monotona en algun punto pero de eso se trata la contabilidad. Explica de manera aceptable, a veces se confunde pero los estudiantes corrigen lo cual demuestra que genera interés. Notas de proyectos y tareas faciles de obtener. Pros: Es comprensivo
Flexible
Entrega notas rapidoCons: Toma asistencia
Parciales medianamente complejos","4.2"
"1576031083-7514","https://losestudiantes.co/","Luis Orlando Silva ArdilaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-orlando-silva-ardila","Luis Orlando es de lejos de los mejores profesores que hay. Es una excelente persona, le interesan mucho los estudiantes, resuelve todas las dudas que tienen y tiene demasiada paciencia. 

Contabilidad es una materia pesada y a veces difícil pero Luis Orlando y su clase hace que no sea tan terrible como otros estudiantes con diferentes profesores d...
Leer más...Pros: Es excelente persona, eso facilita muchísimo la disposición que uno tiene para una clase como contaCons:   Es rápido pasando las presentaciones y te puedes perder ( y luego no entiendes nada)

Los parciales son difíciles pero salen de un banco de preguntas entonces nada que hacer pero puedes revisar todos los parciales con Luis para ver en que te equivocaste y te ayuda.","5"
"1576031066-7485","https://losestudiantes.co/","Luis Diaz MatajiraContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-diaz-matajira","Muy buen profesor y excelente persona dispuesto ayudarte a lo largo del semestre. Los trabajos y parciales están acorde a los temas vistos en clase. Pros: Está dispuesto a resolver las dudasCons: Podría mejorar la metodología","5"
"1576031068-7490","https://losestudiantes.co/","Glenis Milena Peñuela RodriguezContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/glenis-milena-pe%C3%B1uela-rodriguez","Hay que meterle bastante, pero se aprende como en ninguna. La clase es muy amena si se es aplicado, asistiendo a todas te quitan tus dos peores tareas lo cual ayuda mucho. Los parciales son difíciles y es casi imposible dejarla arriba de 4.","4.5"
"1576031083-7515","https://losestudiantes.co/","Luis Orlando Silva ArdilaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-orlando-silva-ardila","Excelente profesor, explica muy bien. Clase tranquila y dinámica.","4.6"
"1576031076-7501","https://losestudiantes.co/","Norma Consuelo Ortiz SilvaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/norma-consuelo-ortiz-silva","Es una profesora que le hace falta mejorar su metodología de la clase. La mayoría del semestre se perdía en los temas y/o se equivocaba con los temas explicados. Aún cuando llega tratar de poner todo su empeño en explicar, no logra conectar con los estudiantes. Los parciales son muy duros y hay que estudiar bastante. Pros: Buena personaCons: Necesita mejorar la estructura de la clase","4"
"1576031091-7524","https://losestudiantes.co/","Adriana Fernan Triana QuijanoContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/adriana-fernan-triana-quijano","De las MEJORES clases que he visto en la universidad. 
Es de las pocas clases en la universidad que permiten un crecimiento personal. Adriana en definitiva transmite luz, felicidad y tranquilidad.  Las actividades permiten no solo un entendimiento más profundo de cada uno, sino que además dan paso a que se cree un espacio de confianza entre la clase en donde es posible compartir cosas muy personales y sentir que este es un espacio seguro. Pros: Los one-to-one son espacios muy valiosos para poder hablar con Adriana lo que tal vez uno no ha podido compartir con alguien más, además que ella escucha y nos da consejos de como afrontar ese tipo de situaciones. 
El proyecto de vida si se hace a conciencia es demasiado útil
Permite conocer a mayor profundidad a las personas con quienes se toma el cursoCons: La parte de las exposiciones de los grupos deberían ser no solo de los estudiantes sino Adriana podría hacer la mitad de estas presentaciones para aprovechar mucho más su experiencia.","5"
"1576031083-7521","https://losestudiantes.co/","Luis Orlando Silva ArdilaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-orlando-silva-ardila","Luis Orlando es de lejos de los mejores profesores que hay. Es una excelente persona, le interesan mucho los estudiantes, resuelve todas las dudas que tienen y tiene demasiada paciencia. 

Contabilidad es una materia pesada y a veces difícil pero Luis Orlando y su clase hace que no sea tan terrible como otros estudiantes con diferentes profesores dicen que es. La puedes dejar alta por que Luis Orlando te explica todo y ayuda. Es el mejor profesor que he tenido.   

Pros: Es excelente persona, eso facilita muchísimo la disposición que uno tiene para una clase como contaCons:   Es rápido pasando las presentaciones y te puedes perder ( y luego no entiendes nada)

Los parciales son difíciles pero salen de un banco de preguntas entonces nada que hacer pero puedes revisar todos los parciales con Luis para ver en que te equivocaste y te ayuda.","5"
"1576031083-7519","https://losestudiantes.co/","Luis Orlando Silva ArdilaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-orlando-silva-ardila","Luis es un profesor relativamente nuevo, sin embargo sabe mucho y eso nadie lo puede contradecir. Aunque sus clases pueden tornarse MUY monótonas y aburridas (además de que son a las 6:30am), se aprende mucho. Es muy amable y buena gente. Hace monitorías virtuales y al final del semestre nos hizo un resumen de todas las clases para repasar para el examen final. 
RECOMIENDO: 1.Asistir a todas las sesiones. No falten nunca porque les quitan las tres peores tareas y eso ayuda muchísimo. 2. Hacer todas las tareas porque así no pasen ningún parcial o final pueden pasar la materia y dejarla hasta en 4. Pros: -Es buena gente. 
-Da bonos
-hace repaso de todo al final del semestre
-hace monitorías virtuales y deja los videos 
-no tiene complementariaCons: -No responde los correos
-A veces es aburrido
-Se enreda mucho en las clases","3.8"
"1576031083-7509","https://losestudiantes.co/","Luis Orlando Silva ArdilaContaduría Internacional","https://losestudiantes.co/universidad-de-los-andes/contaduria-internacional/profesores/luis-orlando-silva-ardila","Creo que fue un error del pregrado y de la facultad al ponerlo en esta clase ya que es fundamental para la práctica de 5 semestre y desarrolla los temas vistos en Contabilidad Financiera. Luis es una muy buena persona, sabe de los temas pero es pésimo enseñando y compensa eso con bonos, ayudas en los parciales y trabajos. Cambió muchas veces el pro...
Leer más...Pros: Quices por Sicua
Posibilidad de quitar las peores notas de quices si uno va a todas las clases.
Buen monitor
Hizo el esfuerzo para ayudar a los estudiantes con bonos y posibilidades de subir la nota
Parciales logrables
Actividades que son útiles para aplicar las NIIF y NICCons: Se enreda mucho explicando
Sus monitorías virtuales no ayudan mucho
A veces no prepara bien las clases
Califica duro las actividades de clase (que tienen gran peso en la nota final)
Se demoró una eternidad en entregar las notas","3"
