web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
1576028622-3230,https://losestudiantes.co/,Edgar Javier Patiño ZapataFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/edgar-javier-pati%C3%B1o-zapata,"Terrible, todo es el libro y a veces se inventa ""explicaciones físicas"" para justificar sus errores matemáticos.Pros: Es fácil. A veces queridoCons: No explica bien. No maneja bien el tema",1
1576028516-2745,https://losestudiantes.co/,Bayron Stevenson Rodriguez FelicianoFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/bayron-stevenson-rodriguez-feliciano,"La clase en sí, era muy graciosa. Se presta hacia resolver dudas. El problema, exige mucho en sus informes.Pros: Atención al estudiante.
Escucha las dudas.Cons: Calificación. Es muy dura la calificación.
Los quices.",3.5
1576028661-3446,https://losestudiantes.co/,Juan Gabriel Ramirez RojasFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/juan-gabriel-ramirez-rojas,"Gabriel es un profesor que sabe un montón dle tema. Sin embargo, cree que tal vez todos nos encontramos en su mismo 2 ""nivel"" y por ende tiende a enseñar cosas muy dificiles,  que aun cuando pueden ser entendidas, no tiene el dominio ni la facilidad de explicarlas bien.
pros: parciales faciles y logrables si se hacen los ejercicios de los talleres
...
Leer más...",3.1
1576028565-3024,https://losestudiantes.co/,Alejandra Valencia GonzalezFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/alejandra-valencia-gonzalez,"Explica bien, pero explica ejercicios fáciles, y así mismo sus parciales. No es nada rigurosa con las matemáticas, no usa el calculo, que a mi parecer le da mucho más sentido a la física; solo desarrolla ejercicios con álgebra sencilla. Es MUY querida y muy buena persona, responde todas las dudas.",4
1576028748-4131,https://losestudiantes.co/,Jackeline Narvaez MoralesFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/jackeline-narvaez-morales,"Se nota que leyó los comentarios de esta pagina, parece que trato de mejorar su actitud, le escribi varias veces durante el semestre y me contesto muy amablemente. Sin embargo, no explica bien, no es una buena profesora y a veces pareciera que no domina bien el tema, los ejemplos que da en clase son los que estan explicados en el libro. Hace unos p...
Leer más...Cons: No deja preparado para el final",1.5
1576028624-3243,https://losestudiantes.co/,Juan Felipe Lopez RestrepoFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/juan-felipe-lopez-restrepo,"Califica demasiado duro, piensa que uno tiene demasiado tiempo para escribir unas conclusiones perfectas y para analizar todos los datos.Cons: Califica muy duro",2.9
1576028720-3961,https://losestudiantes.co/,Alonso BoteroFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/alonso-botero,"Excelente profesor. Es ideal para aquell@s que realmente desean aprender física. Además, los parciales son totalmente  acordes con lo que se ve en el curso. 
(Hay que estudiar bastante).
Pros: Muy buena metodología.
Explica bastante bien.
Sube las clases a Sicua para que los estudiantes puedan repasar.
Se aprende más que en otras magistrales 

Cons: Ninguna",5
1576028748-4114,https://losestudiantes.co/,Jackeline Narvaez MoralesFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/jackeline-narvaez-morales,"Pros: Hace aproximaciones de 0,1.
Si te aprendes el libro de memoria de derecho al revés, podrías aprender las respuestas de los exámenes.Cons: No se le entiende nada en clase.
Va los temas muy rápido.
A veces, no termina de explicar los temas en clase, por lo que es responsabilidad del estudiante adelantarse.
Se queja mucho en clase.
Borra el tablero a medida que escribe, así que el estudiante se pierde fácilmente.
No da bonos nunca.
En el primer parcial, 80 de 100 perdieron. Esto es el 80% de la clase.",1
1576028648-3374,https://losestudiantes.co/,Andres Fernando Reyes LegaFísica,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/andres-fernando-reyes-lega,Las clases con Andrés son increíbles. Es excelente persona y sabe muchísimo.,5
1576028677-3582,https://losestudiantes.co/,Carlos Arturo Avila Bernal 🎆Física,https://losestudiantes.co/universidad-de-los-andes/fisica/profesores/carlos-arturo-avila-bernal,Es el mejor profesor del departamento de física que he tenido. Muy atentoPros: Clases amenas. Excelente manejo del tema. Muy buena preparación para el final.Cons: Ninguno.,5
