web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576031319-8146","https://losestudiantes.co/","Maria Camila Correa FlorezDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/maria-camila-correa-florez","María Camila es una excelente profesora. Es muy clara explicando los temas y responde todas las preguntas que se le hacen. Es muy amable, respeta el horario de clase, la carga académica no es excesiva y es muy justa calificando. A mi no me gustaba el derecho penal hasta que vi Penal Especial con ella.Pros: Los monitores son súper queridos y tienen excelente manejo de los temas.","5"
"1576031290-8003","https://losestudiantes.co/","Juan Francisco Ortega DiazDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/juan-francisco-ortega-diaz","Excelente profesor! Uno de los mejores profesores que he tenido en toda la carrera. Las lecturas no son obligatorias, él quiere que uno aprenda solamente lo que necesito entonces no pone a leer el código de comercio ni nada. La clase no necesita mucha dedicación, solo prepararse para los parciales que son 5 preguntas de la clase y no son para nada ...
Leer más...Pros: Mucho conocimiento
Clase entretenida
No toca leer
Parciales faciles","5"
"1576031285-7947","https://losestudiantes.co/","Betsy Yadir Perafán LiévanoDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/betsy-yadir-peraf%C3%A1n-li%C3%A9vano","Betsy es muy querida y no deja trabajo fuera de la clase. Las lecturas se aplican en clase mediante ejercicios sencillos. Pros: Lecturas cortas","5"
"1576031357-8440","https://losestudiantes.co/","Natalia Angel CaboDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/natalia-angel-cabo","Perfecta: conocedora, apasionada. Las clases no son aburridas, y su apasionante forma lleva a que uno siempre la siga.Pros: Mejor imposible. Monitor excelente, amable.Cons: Sus clases tienen mucho tiene político, lo que ha veces me lleva a pensar que enseña un constitucionalismo desde sus perspectivas políticas: pero es entendible.","5"
"1576031242-7738","https://losestudiantes.co/","Juan Carlos Varon PalominoDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/juan-carlos-varon-palomino","Juan Carlos es un profesor muy querido, explica muy bien y se encarga de explicar detalladamente los temas. Los parciales y PBLs pueden ser algo difíciles aunque usted estudie, a Varón le gusta que los estudiantes encuentren una solución más allá de lo que él explica en clase, aunque a veces eso no le sale bien y una gran cantidad de estudiantes le origina una baja de calificaciones, considerando que es una materia de cinco créditos.Pros: Claridad conceptual
Muy amable
Explica con casos y Código en la mano
Está pendiente del estudiante mientras enseña con rigor
Usted sale aprendiendoCons: No tiene monitor
Se tarda entregando los trabajos
Califica duro
Pocas actividades en el semestre
Muy magistral","3.5"
"1576031345-8339","https://losestudiantes.co/","Renata Amaya GonzalezDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/renata-amaya-gonzalez","Gran profesora, aunque puede llegar a ser dura y algo exigente es una profesora que entiende a los estudiantes y hace todo lo posible para que estos crezcan. Una profesora que vale la pena conocer y que realmente te cambia tu visión y te ayuda a guiarte en lo que será el resto de la carreraPros: Organizada
Comunicativa
ComprensivaCons: Algo dura dado el caso que el grupo no se compromete con la clase","5"
"1576031285-7967","https://losestudiantes.co/","Betsy Yadir Perafán LiévanoDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/betsy-yadir-peraf%C3%A1n-li%C3%A9vano","La mejor profesora que he tenido en el transcurso de mi carrera. La clase es llevadera por lo que uno cree que no aprende, pero al final del curso uno se da cuenta que ha aprendido más que otras sesiones y deja excelentes bases para las demás materias. Es un amor de persona, sus clases son divertidas, hace demasiadas actividades que incentivan a to...
Leer más...Pros: Todo + monitorCons: Ninguno","5"
"1576031285-7983","https://losestudiantes.co/","Betsy Yadir Perafán LiévanoDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/betsy-yadir-peraf%C3%A1n-li%C3%A9vano","La mejor profesora que he tenido en el transcurso de mi carrera. La clase es llevadera por lo que uno cree que no aprende, pero al final del curso uno se da cuenta que ha aprendido más que otras sesiones y deja excelentes bases para las demás materias. Es un amor de persona, sus clases son divertidas, hace demasiadas actividades que incentivan a tomar consciencia de la justicia en Colombia  y tiene un excelente monitor. Pros: Todo + monitorCons: Ninguno","5"
"1576031395-8620","https://losestudiantes.co/","Miguel Malagon PinzonDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/miguel-malagon-pinzon","Aunque es entretenida, en la calse se aprende poco contenido jurídico. Esta clase es muy importante para tener BASES de derecho administrativo y gracias a él no als tengo. Es muy fácil, regala la nota, pero no se aprende nada.","2"
"1576031252-7804","https://losestudiantes.co/","Santiago Andres Martinez MendezDerecho","https://losestudiantes.co/universidad-de-los-andes/derecho/profesores/santiago-andres-martinez-mendez","Al principio de la clase fue un poco ausente debido a otros compromisos laborales, sin embargo, se encargaba de llevar buenos profesores suplentes que dictaran los temas necesarios. Es un excelente profesor y todos los contenidos básicos necesarios sobre relaciones laborales se aprenden. 
Tiene una postura muy sensata frente a varios de los temas d...
Leer más...Pros: La metodología de la clase es a través de talleres después de ver cada tema, lo cual genera mucha claridad mental y ayuda al aprendizaje a través de casos. 
Es demasiado claro y estructurado. 
Excelente profesor. 
Cons: A veces se ausenta mucho
Los temas se ven de manera muy concreta, entonces es probable que no se aprenda tanta cantidad en comparación con otros profesores. 
Puede ser un poco complicado buscar su ayuda personalmente debido a su disponibilidad de tiempo","5"
