web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576041184-15730","https://losestudiantes.co/","Alvaro Enrique Pinilla SepulvedaIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/alvaro-enrique-pinilla-sepulveda","Alvaro es un excelente profesor, en su forma particular. Posee una enorme cantidad de experiencia personal que no duda en compartir con los estudiantes, que aunque podría parecer inútil, no lo es a largo plazo. Alvaro deja tareas semanales, algunas un poco complicadas y llenas de cáscaras; sin embargo lo dejan a uno preparado en esas temáticas y le...
Leer más...Pros: - Parciales absurdamente sencillos (sale lo que muestra en las tareas y además dice en clase qué saldrá)
- Buen sentido del humor (a veces bastante raro pero ok (?) )
- Mucha experiencia personal
- Domina los temasCons: - Puede ser grosero e intimidante (no se siente seguro buscarlo)
- Es MUY quisquilloso
- A veces puede ser montador si la embarran (pilas con dar papaya)","4.5"
"1576041217-15934","https://losestudiantes.co/","Andres Leonardo Gonzalez ManceraIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/andres-leonardo-gonzalez-mancera","Pros: -	Buena Persona
-	Clase entretenida y didáctica
-	Actividades relevantes y no hace sobrecarga de trabajos
-	No es difícil dejar la clase alta
Cons: -	Ha veces se demora entregando notas
-	Ha veces es desorganizado
-	Grita espontáneamente de chiste","4.5"
"1576041210-15932","https://losestudiantes.co/","Rafael Beltran PulidoIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/rafael-beltran-pulido","Es una Leyenda del departamento y como tal un Pedagógo de alto calibre, si ud no le entiende cuestione su talento como Ingeniero. Sus cursos siguen un programa explicito pero a veces se le antoja no ver sus diapositivas sino las de otros autores entonces a veces se pierde. Exige pero en su debida proporción y tiene el deseo de ayudarle a entender. Es un Veterano en la industria, lo digo porque llevo 3 años ya ejerciendo en Sistemas de aire, HVAC y confort termico y creame, el tipo está por todo lado. Pros: -Veterano académico e Industrial
-Excelente conocimiento de los Temas
-Es de los 3 pilares del departamento con Loboguerrero y Toro, de los unicos que se han atrevido a escribir Libros de Texto. (Donde está tu libro Alvaro Pinilla? ) Cons: -Calificaciones demoradas
-No se desvia de los temas , el viene a hablar de lo que debe.","4"
"1576041172-15639","https://losestudiantes.co/","Luis Ernesto Muñoz CamargoIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/luis-ernesto-mu%C3%B1oz-camargo","Sus clases son aburridas por lo que es muy fácil dormirse. Sin embargo, para preguntas en su oficina es muy dedicado y se esmera porque el estudiante entienda a la perfección","4.1"
"1576041177-15679","https://losestudiantes.co/","Jairo Arturo Escobar GutierrezIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/jairo-arturo-escobar-gutierrez","es un profesor que exige mucho. siempre hace sus clases con gran entusiasmo.
tiene mucha experienciaCons: exigencia","4.5"
"1576041200-15853","https://losestudiantes.co/","Luis Mario Mateus SandovalIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/luis-mario-mateus-sandoval","Excelente profesor: muy claro en los temas. Personalmente me gusta de método de evaluacion","5"
"1576041193-15823","https://losestudiantes.co/","Giacomo BarbieriIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/giacomo-barbieri","Es muy buen profesor, con sus tareas y los ejercicios que explica en clase uno queda muy bien preparado para los parciales y para el final. Con estudiar las diapositivas que manda es casi suficiente para presentar los parcialesPros: -Plus de manejo de circuitos y arduino
-Amable
-Explica dudas Cons: -La clase se basa en leer y explicar las diapositivas, que puede ser aburrido","4.5"
"1576041205-15892","https://losestudiantes.co/","Fabio Arturo Rojas MoraIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/fabio-arturo-rojas-mora","Es buen profesor facil chistoso y trata de que la gente estudia es estricto con repeto puntualidad no comer en clase ni hablar. Ademas es cero flexible para ayudas y dudas. Si lo necesitan fuera de clases es la peor persona del mundo dentro del salón es buen profesorPros: FacilCons: No ayuda afuera de clases
incumplido con horariios
horrible persona","3.3"
"1576041165-15588","https://losestudiantes.co/","Juan Pablo CasasIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/juan-pablo-casas","El man es querido, sabe resto, pero no me gusta la forma como dicta la clase. muy creídoPros: Clase dinámicaCons: malos chistes, se pone bravo facilmente, nunca da la razon al estudiante","3.4"
"1576041200-15842","https://losestudiantes.co/","Luis Mario Mateus SandovalIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/luis-mario-mateus-sandoval","Exige mucho, es un profesor que requiere mucho tiempo de trabajo y de estudio y su metodología de clase hace que uno aprenda mucho. Está abierto a explicar fuera de los horarios de clase y tiene un alto nivel de dificultad.Pros: Se aprende muchoCons: difícil","4.6"
"1576041205-15890","https://losestudiantes.co/","Fabio Arturo Rojas MoraIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/fabio-arturo-rojas-mora","Es un excelente profesor, en general explica bastante bien y tiene un buen sentido del humor. Esta siempre dispuesto a explicar varias veces hasta que el tema quede bien claro.Pros: Hace quices en vez de parciales. Y desde que se ponga atención en clase son en general fáciles.","4.5"
"1576041205-15891","https://losestudiantes.co/","Fabio Arturo Rojas MoraIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/fabio-arturo-rojas-mora","En vez de parciales realiza quices todas las semanas que valen el 60% de la nota final. Con el no se ven lo temas a profundidad y en ocaciones hay temas que omite, es un profesor relativamente fácil para ciencia de materialesPros: Quices en vez de parcialesCons: Al final del semestre termina corriendo con lo temas","4"
"1576041177-15658","https://losestudiantes.co/","Jairo Arturo Escobar GutierrezIngeniería Mecánica","https://losestudiantes.co/universidad-de-los-andes/ingenieria-mecanica/profesores/jairo-arturo-escobar-gutierrez","Sabe del tema, sabe lo que hace, exisge algo de memoria. Mantiene la clase activa a las 6:30 am haciendo chistes y molestando a los que se duermen, pregunta lo que explica y no varia mucho los quizesPros: No varia sus preguntas
Sabe del tema
Realiza aproximaciones de nota (3.2 a 3.5)Cons: Montador con quien se duerme
Quizes de memoria
Califica duro, tiene que estar perfecto para una buena nota","3.7"
