web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576033212-11104","https://losestudiantes.co/","Lina Liliana Osorio SanabriaGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/lina-liliana-osorio-sanabria","Es exigente y se puede aprender mucho con ella (puede que no, tampoco es erudita). Sin embargo, a veces es irrespetuosa con los estudiantes. Depende de su tolerancia con el tipo de comentarios que ella hace (a veces con respecto a la carrera de Geociencias en Los Andes, que nos consienten mucho, a veces se ríe de lo que uno responde en las tareas). Por otra parte, a la hora de calificar es dura y solo acepta interpretaciones hechas por ella, cuando puede haber otras interpretaciones.Cons: Deja mas trabajo que el que el profesor de la magistral indica. 
A veces irrespetuosa.","3"
"1576033197-11047","https://losestudiantes.co/","Alba Marina Suarez RojasGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/alba-marina-suarez-rojas","Alba es una excelente profesora, se esfuerza porque entiendan y pone todo su empeño para ello. Debido a que para el curso 2016-1 eran pocos estudiantes (aprox 25) se logró sacar bastante provecho de la clase y el lab.Pros: Atenta a dudasCons: A veces se enreda un poco","5"
"1576033195-11039","https://losestudiantes.co/","Natalia Pardo VillavecesGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/natalia-pardo-villaveces","Es una excelente profesora. Me encanta su carisma y su efectividad, es muy humana y se pone mucho en su lugar si usted le demuestra que lo merece. Los parciales son bastante prácticos, derrocó un poco el estándar de parciales mecánicos en los que debía aprenderse todo lo enseñado durante el corte. La amo jeje. (Me encantó en enfoque que le dió a la clase)","5"
"1576033181-10958","https://losestudiantes.co/","Jean Baptiste TaryGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/jean-baptiste-tary","Pros: El mejor profesor que he conocido hace valer su posdoctorado es una megacrack el mejor profesor que he tenido en mi vida","4.9"
"1576033210-11099","https://losestudiantes.co/","Rodrigo Alberto Marin CastilloGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/rodrigo-alberto-marin-castillo","El tipo tiene una experiencia abismal en el tema de ingeniería mecánica, es muy sabio. Sin embargo el tipo no sabe dar clase... son embargo vale la pena ver clase con el por sus historias y cuentos: uno aprende cantidades de lo que es la imgenieria aplicada y cómo hacerlo realidad. Es una gran person y es muy relajado como profesor. califica bien. Pros: Muy interesante
Chistoso
Sabio
clase relajadaCons: si no sabe aprender por su cuenta, no va a aprender nada.","5"
"1576033210-11089","https://losestudiantes.co/","Rodrigo Alberto Marin CastilloGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/rodrigo-alberto-marin-castillo","Un profesor muy simpático, se le nota su experiencia a kilómetros pero lamentablemente no preparaba sus clases y muchas veces se le salían de control. Aveces llegaba con sus diapositivas en inglés y ni el mismo sabía que estaba pasando!","4"
"1576033201-11062","https://losestudiantes.co/","Idael Blanco QuinteroGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/idael-blanco-quintero","De los mejores profesores que he tenido en la universidad. Así de simple; sin embargo, las materias que da son difíciles en general.","5"
"1576033181-10960","https://losestudiantes.co/","Jean Baptiste TaryGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/jean-baptiste-tary","Excelente clase, el profesor se esfuerza mucho por preparar los temas y sus presentaciones son claras. Sus tareas son concordes a lo que se ve, al igual que sus parciales. Se aprende mucho mientras uno tenga la disposición. Siempre tiene tiempo fuera de clase para atender las dudas de los estudiantes .","5"
"1576033181-10961","https://losestudiantes.co/","Jean Baptiste TaryGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/jean-baptiste-tary","Yo vi Geociencias con él. Su clase es sencillamente las mas aburrida de la historia. Aunque el tema puede que sea interesante, el profesor solo lee las diapositivas y habla en un tono mas monotono que una maquina y a veces tan pasito que no se le escucha lo que dice. La clase se torna dificil a medida que pasa el tiempo pero solo por el hecho de que es muy dificil ir y prestar atencion por lo aburrida que es.Pros: Califica justo de acuerdo a los temas vistos.

Cons: No dan ganas de ir a clase.

Produce sueño y aburrimiento.","1"
"1576033181-10956","https://losestudiantes.co/","Jean Baptiste TaryGeociencias","https://losestudiantes.co/universidad-de-los-andes/geociencias/profesores/jean-baptiste-tary","Buen profesorPros: Sabe mucho del temaCons: Debe mejorar el tono de voz","5"
