web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576028866-4493","https://losestudiantes.co/","Gustavo Alfonso Gonzalez CoutureAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/gustavo-alfonso-gonzalez-couture","La clase en realidad era Fund de Administración y Gerencia. Mal profesor para introducción a la administración, califica los parciales más duro que en las otras secciones y sus clases no dejan mucho aprendizaje en realidad.Pros: Sabe de distintos temas y mucha cultura general e historiaCons: No es muy bueno explicando
Califica duro","2"
"1576028948-4919","https://losestudiantes.co/","Martha Elizabeth Garavito SuarezAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/martha-elizabeth-garavito-suarez","No metan con Martha!!! a pesar de ser una clase interesante y no tan dificil, la vuelve una mamera. Todo es de memoria exacto, lo unico bueno es que deja sacar apuntes. Lo malo, es que son muchas cosas de memoria exacta y por lo tanto no tienes suficiente tiempo para buscar cada cosa en cada lectura, a no ser que las hayas leido todas y las hayas aprendido (lectura obligatoria para cada clase). No es imposible, pero si es dificil y en lo personal yo la luche. Solo digo que si quieren ver esta clase, no verla con ella. Pros: sabe muchoCons: escuelera a morir 
parciales larguisimos
memoria
montadora","2.3"
"1576028897-4637","https://losestudiantes.co/","Bradley James WilsonAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/bradley-james-wilson","La clase es super aburrida, son puras propagandas en Youtube, una perdida de tiempo completa. Los parciales son selección múltiple compleja. Las únicas calificaciones son en grupo.Pros: Es queridoCons: Super aburrida.","2.8"
"1576029024-5209","https://losestudiantes.co/","Carlos Eduardo Hernandez CastilloAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/carlos-eduardo-hernandez-castillo","Pros: Le gusta mucho el tema que enseña y hace varios bonos para los quicesCons: Es muy escuelero  y es grosero con los estudiantes","3"
"1576028948-4906","https://losestudiantes.co/","Martha Elizabeth Garavito SuarezAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/martha-elizabeth-garavito-suarez","Ella no es la profesora magistral como tal pero las clases que da son básicamente innecesarias. Los trabajos que se realizan con ella, son demasiado cuadriculados, no permite la interacción entre estudiantes y si uno tiene una pregunta, se debe de realizar a ella, porque ""ella es la que sabe""....

No se como sigue en Los Andes","1.5"
"1576028997-5094","https://losestudiantes.co/","Martha Constanza Caceres PorrasAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/martha-constanza-caceres-porras","Martha es una gran profesora. Realmente recomiendo tomar clase con ella para los que de verdad desean aprender sobre las diferentes herramientas de excel. Pros: Organizada
Muy querida 
Atenta a cualquier inquietud durante clase y en horarios de atención 
Explica los temas sin redondeos 
Parciales acorde a lo estudiado en claseCons: La clase puede llegar a ser demandante para solo valer un crédito.
Tareas todas las semanas.
Algunos temas de auto aprendizaje.","4.7"
"1576028812-4247","https://losestudiantes.co/","Rosa Isabel Gonzalez MuñozAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/rosa-isabel-gonzalez-mu%C3%B1oz","Pros: Rosa explica muy bien y está muy pendiente de que sus estudiantes aprendan siempre y cuando muestren interés y esfuerzo. Es una muy buena profesora a pesar de ser un poco exigente.Cons: Es bastante escuelera, insiste con la llegada a tiempo el uso del celular, etc. Los talleres son largos a veces y es bastante tedioso hacer talleres cada semana y correr a entregar los viernes en la mañana, pero se aprende bastante y uno queda muy bien preparado para los parciales.","4.1"
"1576028936-4822","https://losestudiantes.co/","Rodrigo Taborda RiosAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/rodrigo-taborda-rios","Es buena persona y muy relajado pero en esa clase no se aprende nada, en especial en esa sección. Pros: La asistencia no es obligatoria
Avisa los quices
materia facil
parciales faciles
Cons: no se aprende nada
las presentaciones no son muy buenas ni claras","3.5"
"1576028984-5046","https://losestudiantes.co/","Rodrigo BrittoAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/rodrigo-britto","Es una clase en donde te toca aprender si o si, debes de saber de herramientas ll y si no sabes no explica nada, no sabe enseñar.","2"
"1576028812-4252","https://losestudiantes.co/","Rosa Isabel Gonzalez MuñozAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/rosa-isabel-gonzalez-mu%C3%B1oz","Pros: Es buena profesora pero bastante exigente, el curso tiene bastante carga con tareas trabajos y parciales","4"
"1576029012-5159","https://losestudiantes.co/","Diego Valderrama RojasAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/diego-valderrama-rojas","Es muy querido e intenta explicar de la mejor forma pero la metodología es muy aburrida. Es muy fácil dispersarse en clase.Pros: FácilCons: Clase parcializada y sesgada hacia las opiniones del profesor","3.5"
"1576028868-4495","https://losestudiantes.co/","Jaime Alberto Ruiz GutierrezAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/jaime-alberto-ruiz-gutierrez","La peor clase que he visto en toda la universidad. No por el profesor, quien es querido, sino por la clase y la metodología como tal. Me parece que el tema da para mucho más, pero simplemente la metodología es aburridísima, metódica y teórica. No va más allá. El profesor es buena gente pero habla pasito y simplemente no hay enganche con la clase. La gente se quedaba dormida o se ponia a hacer otras cosas. Tras de que no se aprende mucho, toca elaborar unos informes eternos,un video (con entrega de guión y análisis) un pitch y unas presentaciones que demandan mucho trabajo y tiempo y que honestamente no aportan a construir conocimiento.  Pros: A veces llevan conferencistas externos.Cons: La asistencia es obligatoria.
Demasiado aburrida.
Demanda mucho trabajo y tiempo
No se aprende mucho.","3"
"1576029057-5359","https://losestudiantes.co/","Juana Catalina Garcia DuqueAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/juana-catalina-garcia-duque","Sabe mucho sobre los temas y trata que las clases estén muy vinculadas con la actualidad lo cual lo hace muy interesante. A veces es desorganizada con las tareas y trabajos pero están muy alineados con lo que enseña. Se aprende realmente y sabe explicar los temas. Es exigente.","4.5"
"1576028868-4498","https://losestudiantes.co/","Jaime Alberto Ruiz GutierrezAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/jaime-alberto-ruiz-gutierrez","TODOS los trabajos fueron en grupo. El primer parcial es oral y luego solo está el final que son respuestas múltiples y un caso. El profesor habla MUY bajito y su letra es CERO legible. Sin embargo, se preocupa mucho por la participación de sus estudiantes y les da bono a quienes hablen bastante.Pros: Su clase es fácil
Cons: El parcial oral puede ser difícil si no se manejan bien los conceptos y no se han leído todos los casos.
Habla muy bajito (recomiendo sentarse en las filas de adelante)","4"
"1576028868-4502","https://losestudiantes.co/","Jaime Alberto Ruiz GutierrezAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/jaime-alberto-ruiz-gutierrez","Jaime es un profesor que sabe demasiado, tiene muchísimos conocimientos y se ve que quiere transmitirlos a sus estudiantes. Sin embargo, organizaciones me pareció una clase monótona y aburrida, no se aprende en mi opinión nada nuevo o relevante. El problema no es Jaime, ya que creo es un gran profesor y una gran persona, sino es la materia en si. S...
Leer más...Pros: Es demasiado amable. Sabe muchísimo. Califica muy acorde a lo estipulado.Cons: La clase es pasada de aburrida y en mi opinión no aporta ningún conocimiento relevante. 
Es monótono, redondea mucho en un mismo tema.
Los trabajos terminan siendo largos si arma bien su grupo de trabajo para el semestre.
Clase relleno mal.","4.5"
"1576029051-5339","https://losestudiantes.co/","Emilio Cardona MagneAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/emilio-cardona-magne","Puede conocer mucho de finanzas pero como persona no agrada mucho, en algunos casos incluso se muestra un poco odioso.","2"
"1576028982-5041","https://losestudiantes.co/","Veneta Stefanova Andonova ZuletaAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/veneta-stefanova-andanova-zuleta","Veneta es muy buena profesora, es una clase interesante. Es chevere por que en muchas ocasiones invita a otros profesores a que den la clase entonces no es monotona. Además es muy querida y muy buena persona. No es una clase dificil.","4.5"
"1576028997-5092","https://losestudiantes.co/","Martha Constanza Caceres PorrasAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/martha-constanza-caceres-porras","Martha explica muy bien, es amable y si necesitas algo siempre te ayuda en su horario de atención. Aunque hay que trabajarle mucho porque deja muchos trabajos.Pros: Explica bien.
Horario de atención muy útil.
Amable.Cons: Deja muchas tareas y etc.","3.8"
"1576028817-4273","https://losestudiantes.co/","Oscar Francisco Trujillo ReyesAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/oscar-francisco-trujillo-reyes","Oscar es un gran profesor, a veces se enreda un poco pero en general explica bien y se preocupa por sus estudiantes. Hace ejercicios en clase lo que permite entender mejor la teoría. Pros: Es paciente
Se preocupa por los estudiantes
Explica bien
Deja bien preparado para los parciales
Deja actividades que ayudan a prepararse","4.5"
"1576028884-4577","https://losestudiantes.co/","Catalina Estrada MejiaAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/catalina-estrada-mejia","A diferencia de todos a mi no me parecio buena profesora","2"
"1576028906-4690","https://losestudiantes.co/","Carlos Andres Rodriguez CortesAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/carlos-andres-rodriguez-cortes","Cons: La mayoría de las veces llegaba tarde a clase y no era muy claro con lo que explicaba. 
Los parciales eran muy pesados teniendo en cuenta lo que explicaba.","1.5"
"1576028837-4351","https://losestudiantes.co/","Mariano Alberto Lopez FajardoAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/mariano-alberto-lopez-fajardo","Un profesor muy amable con sus estudiantes, ayuda, y si uno pregunta se toma el tiempo para que entiendan, no es muy claro muchas veces de las clases.","4.2"
"1576029006-5141","https://losestudiantes.co/","Ernesto Cuellar UrbanoAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/ernesto-cuellar-urbano","Pros: Es demasiado fácilCons: No se aprende absolutamente nada. Sólo dio 4 clases en todo el semestre. El resto fueron presentaciones de los estudiantes.","1"
"1576028941-4864","https://losestudiantes.co/","Lina Maria Castano MesaAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/lina-maria-castano-mesa","Pros: Trata de hacer diferentes dinamicas y fuentes de informacion, aterriza mucho los temas Cons: La clase se torna muy aburrida y no suben las presentaciones que serian de gran ayuda para los parciales. Saca los parciales de lo visto en clase, si nota que no mucha gente esta preparando las clases con las lecturas hace quizes (igual los avisa)","4"
"1576029019-5197","https://losestudiantes.co/","Andres Link OspinaAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/andres-link-ospina","La amabilidad hecha persona, es muy querido y amable. Explica bien y sus parciales son posiblesCons: Es muy rabón, si no van muchos a clase o llegan tarde, hace quiz sorpresa","4.6"
"1576028915-4736","https://losestudiantes.co/","Gabriel Perez CifuentesAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/gabriel-perez-cifuentes","Gabriel es uno de los mejores profesores que yo he tenido en toda la carrera, se preocupa por el estudiante, además de que sabe mucho sobre el tema, su experiencia y sus anécdotas ayudan a atrapar al estudiante en el tema","5"
"1576028812-4237","https://losestudiantes.co/","Rosa Isabel Gonzalez MuñozAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/rosa-isabel-gonzalez-mu%C3%B1oz","Es demasiago exigente, hace quices muy frecuentemente. La clase demanda mucho tiempo y energía pero se aprende porque se aprende. Es uno de esos cursos que uno suda pero aprende.Pros: Demasiado organizadaCons: A veces es un poco grosera con estudiantes que hacen preguntas en clase.","4"
"1576028948-4912","https://losestudiantes.co/","Martha Elizabeth Garavito SuarezAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/martha-elizabeth-garavito-suarez","Pros: Los parciales son prácticamente las mismas tareas.Cons: Es escuelera.","3.6"
"1576028807-4168","https://losestudiantes.co/","Dario Alejandro Fuentes FriasAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/dario-alejandro-fuentes-frias","Darío es un docente muy informado en su materia, sin embargo no tiene tan buena actitud para dar la clase. A pesar de esto, explica muy bien y resuelve todas las dudas que surjan a los estudiantes en el horario de clase o fuera del mismo. Propone un taller de recomendación de inversión, que suena interesante, pero que finalmente no es más que una e...
Leer más...Pros: Conocimiento claro, explica muy bien, resuelve las dudasCons: Actitud poco agradable, bajo incentivo al goce de la clase, un taller aparentemente empresarial que no sube del nivel de una exposición de colegio.","3.4"
"1576028931-4783","https://losestudiantes.co/","Andres Mora ValenciaAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/andres-mora-valencia","Es bastante exigente, hace quices todas las clases. Es bastante práctico en el sentido que usa excel y aplica todo en la vida real a diferencia de otros profesores que todo es sacar fórmulas a mano. Es duro, los parciales son duros, pero se aprende para la vida.Pros: Se aprendeCons: Es dificil","4"
"1576028817-4285","https://losestudiantes.co/","Oscar Francisco Trujillo ReyesAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/oscar-francisco-trujillo-reyes","Pros: Muy querido y explica muy bien","5"
"1576028954-4937","https://losestudiantes.co/","Alejandro Castillo VallejoAdministración","https://losestudiantes.co/universidad-de-los-andes/administracion/profesores/alejandro-castillo-vallejo","Gran profesor. Alejandro empieza su clase diciendo que espera que todos los estudiantes se saquen cinco y si uno realmente cumple con todos sus criterios, la deja en 5. La clase va mucho más allá de la teoría ya que se enfoca mucho en lograr discusiones entre los estudiantes de casos de actualidad que le aportan relevancia a la clase. Él nunca expl...
Leer más...Pros: No hay parciales ni quices
Genera debate
Clase dinámicaCons: Es exigente con sus criterios de evaluación
Hay informe de lectura largo todas las semanas 
Califica participación","5"
