web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576035148-11680","https://losestudiantes.co/","Daniela Barros MattosIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/daniela-barros-mattos","Muy recomendada.
Daniela es de las mejores asistentes de laboratorio con las que he cursado una materia. En primer lugar, es una persona que tiene un muy buen nivel de conocimiento en lo que dicta. Esto genera que las correcciones y otras retroalimentaciones ayuden a complementar o corregir el conocimiento adquirido a lo largo del curso. Por otra parte, me gustaría resaltar su excelente atención al estudiante. Daniela es muy atenta en todo sentido: contesta dudas durante los laboratorios, brinda ayuda cuando se requiere, aconseja durante el desarrollo de las prácticas para obtener mejores resultados y contesta super rápido los correos. Si bien es cierto que puede mostrarse como una persona algo seca, su trato al estudiante es bueno. Lo único que tal vez debo hacer notar es que es algo exigente con las calificaciones. Es necesario meterle empeño en cuanto a la calidad de lo que se entrega para que las notas sean buenas.Pros: *Dominio del tema.
*Super atenta con los estudiantes.
*Profesional.
*Rápida contestando correos.
*Es buena gente.
Cons: *Califica duro.","4.8"
"1576035260-12137","https://losestudiantes.co/","German LlerasIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/german-lleras","Excelente profesor.Explica la teoría aplicada a casos de la vida real gracias a su amplia experiencia. Deberían contratar más profesores así","5"
"1576035202-11863","https://losestudiantes.co/","Juan Fernando Saldarriaga ElorzaIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/juan-fernando-saldarriaga-elorza","Es un profesor que, lejos de querer apasionar a sus estudiantes con la asignatura, tiene como objetivo mantener vivo el miedo al contenido y al método de calificación de la clase.  En las clases solo se explica con diapositivas, y a un ritmo relativamente acelerado que más que mantener la atención de los alumnos solo sirve para mostrar que el profe...
Leer más...Pros: -El proyecto no es muy complicado de realizar si se hace tal cual el lo quiere. 
-Si le caen bien y hacen caso, no es grave y Saldarriaga no es grosero
-El tema es muy interesante a pesar de la metodología de clase","2"
"1576035206-11927","https://losestudiantes.co/","Jaime Guillermo Plazas TuttleIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/jaime-guillermo-plazas-tuttle","Excelente profesor y persona. Aprendí muchísimo. No hace parciales fáciles pero si trabajables y valora procedimientoPros: Muy amable y abierto a cualquier duda","5"
"1576035202-11866","https://losestudiantes.co/","Juan Fernando Saldarriaga ElorzaIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/juan-fernando-saldarriaga-elorza","Se nota que es un profesional que sabe mucho en su campo, pero como profesor que transmite ese conocimiento a los estudiantes se queda MUY corto. Se excusa en que los estudiantes deberían leer más el libro y hacer un montón de ejercicios, cuando en las clases él no da las herramientas suficientes para poder resolverlos. Siempre usa diapositivas, es...
Leer más...Pros: Siempre pone al menos un ejercicio en el parcial de los que manda para el taller.
Si le caes bien puede llegar a ser amable.Cons: En la clase hace ejercicios pero realmente no enseña la base.
Muy pocas habilidades para explicar.
Realmente no se aprende mucho, y de forma clara.","2.5"
"1576035222-12001","https://losestudiantes.co/","Daniel Eduardo Paez BarajasIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/daniel-eduardo-paez-barajas","Domina muy bien el tema, explica excelente y hace que la clase sea interesante. Pros: Sabe mucho del tema Cons: Los parciales pueden ser muy difíciles","4.5"
"1576035244-12080","https://losestudiantes.co/","Juan Francisco Correal DazaIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/juan-francisco-correal-daza","Me parece que explica bien pero es dificil de contactar por fuera de la clase si se tiene alguna duda porque está siempre muy ocupado. Los parciales algunas veces suben o bajan de nivel según el semestre. Es estricto pero a la vez muy amable.","3.5"
"1576035143-11670","https://losestudiantes.co/","Jaime Wills SaninIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/jaime-wills-sanin","Es muy buen profesor, transmite esa pasión que tiene por el tema. Califica suave y sus parciales son acordes a lo que se ve en clase. Divaga bastante, lo cual hace que se pierda mucho tiempo en clase y algunos temas se vean demasiado rápido.","4.5"
"1576035244-12092","https://losestudiantes.co/","Juan Francisco Correal DazaIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/juan-francisco-correal-daza","Trata de dejar claros los temas más importantes para el desarrollo del curso, es por eso que muchos de los temas planeados para el desarrollo del curso sean vistos muy por encima o no se alcancen a ver. Sus explicaciones son claras. Las preguntas que realiza a los estudiantes suelen ser demasiado directas, ya que busca respuestas puntuales; en caso de que no haya respuesta, le preguntará a 4 personas más, si ninguna de las 5 personas responde, realiza un quiz. Percibí que a las personas que no le respondían, las molestaba durante toda la clase.Pros: En sus horarios de atención, tiene toda la disposición de explicar los temas que no quedaron claros. Cons: Se atrasa en los temas.","4"
"1576035231-12037","https://losestudiantes.co/","Jose Raul Rincon GarciaIngeniería Civil y Ambiental","https://losestudiantes.co/universidad-de-los-andes/ingenieria-civil-y-ambiental/profesores/jose-raul-rincon-garcia","Explica bien, no es amargado, resuelve dudas con mucha paciencia.Pros: Explica muy bien y no es amargado","5"
