web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
1576041454-16198,https://losestudiantes.co/,Oscar Gomez DelgadoLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/oscar-gomez-delgado,"es un profesor excelente, tiene un buen sentido del humor, es muy puntual, busca que de verdad aprendas por ello no regala nota, exige lo que se debe, sus clases no son aburridas, es buena gente siempre y cuando los alumnos se comprometan con la clase, aunque no llame a lista todos los días EN CLASE él sabe quién va y quién no. Pros: Todo",5
1576041516-16378,https://losestudiantes.co/,Luciana Andrade StanzaniLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/luciana-andrade-stanzani,"EXCELENTE PROFESORA! muy amable, amorosa, se preocupa por sus estudiantes, regala una experiencia muy cercana con brasil al conocer su historia y que las actividades se relacionen a ello. super recomendada si quieres aprender y disfrutar el curso. Pros: - Explica bien 
- hace resumenes de los temas del curso para los parciales 
- parciales justos",5
1576041483-16268,https://losestudiantes.co/,Camila SerafiniLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/camila-serafini,"Camilla es una profesora que conoce mucho sobre el idioma, y sabe explicarlo. Sin embargo, muchas veces se frustra con el hecho de que los estudiantes no entiendan ciertas cosas del idioma.  Igual es una persona muy divertida y siempre abierta a preguntas.Pros: Conoce bien el idioma
Abierta a preguntas
Parciales acordes a lo enseñado
Cons: Un poco el temperamento",4
1576041596-16623,https://losestudiantes.co/,Kayo TakiuchiLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/kayo-takiuchi,Ella es muy querida pero califica duro. Los quices de kanji que hace son difíciles.,4
1576041525-16404,https://losestudiantes.co/,Rafael Arteaga DiazLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/rafael-arteaga-diaz,"Rafael es muy buena persona y es posible notar que se esfuerza para que los temas queden claros, sin embargo su clase es demasiado monótona y en ocasiones aburrida. Suele extenderse bastante en los temas, lo cual es bueno, pero no suele dejar explícito el concepto base del tema. Pros: - Es muy amable con los estudiantes.
- Antes de los parciales envía resumen de los temas.
- Sabe muy bien el idioma.
- Se nota que se esfuerza calificando, y siempre realiza retroalimentación de los parciales.Cons: - Toma asistencia.
- La clase puede resultar muy tediosa.",3.5
1576041549-16485,https://losestudiantes.co/,Beatriz Peña DixLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/beatriz-pe%C3%B1a-dix,"Beatriz es tanto un ser humano como una profesora excelente. La pasión con la que enseña es evidente en cada una de sus clases. Además, siempre está dispuesta a explicar cuando algo no se entiende, sin embargo, es necesario que presenten su confusión. La profe no da notas regaladas, por eso es que hay que esforzarse.

La monitora es un amor y siempre está dispuesta a colaborar.Pros: Parcial MUY SENCILLO, sólo se necesita prestar atención y tomar nota A MANO (las deja sacar en el parcial si están escritas de esta manera). 
Si participan en los foros les dan una gran compensación en el parcial.",5
1576041490-16297,https://losestudiantes.co/,Carolina Pombo MariaLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/carolina-pombo-maria,"Creo que es la peor profesora que he tenido en la universidad. Su método de explicación es muy anticuado; solo se ciñe a leer el libro sin ser dinámica con los temas que se ven en clase. Si uno le pregunta algo que acaba de explicar pero no se entendió responde feo y toma una mala actitud. No explica bien los temas y cree que con los ejercicios del libro ya se aprende todo a la perfección. Demasiado exigente aún cuando no profundiza bien en los temas. Así mismo sus parciales son difíciles y no reflejan completamente lo que se ve en clase.Pros: Sabe muchoCons: Explica mal
Aburrida
Mala actitud
Parciales difíciles
Cero dinámica en clases",1.5
1576041498-16323,https://losestudiantes.co/,Maddalena ZanardiLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/maddalena-zanardi,"La mejor profesora, es super paciente cuando no entiendes y explica muy bien el idioma. Además tiene un acento muy claro y habla despacio lo que facilita el aprendizaje. No deja trabajos obligatorios y no le importa la asistencia, sin embargo es escencial ir por que todos los quizes y parciales se basan en las clases. Además sabe muchos otros idiom...
Leer más...Pros: Los parciales es lo que viste en clase, nunca te va a salir nada que no haya explicado antes. Cons: Hay veces llega tarde.",5
1576041569-16535,https://losestudiantes.co/,Paul Ricardo Davila MateusLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/paul-ricardo-davila-mateus,"Paul es un muy buen profesor. Explica los temas con claridad y repite cuantas veces sea necesario para que todos entiendan. En clase hace diversas actividades que hacen la clase muy entretenida. Sus parciales son acorde a lo que se ve en clase (no son ni muy difíciles ni muy fáciles) y siempre da retroalimentación cuando los devuelve. El único prob...
Leer más...",4.6
1576041593-16605,https://losestudiantes.co/,Claudia Margarita Pelaez RodriguezLenguas y Cultura,https://losestudiantes.co/universidad-de-los-andes/lenguas/profesores/claudia-margarita-pelaez-rodriguez,"Gracias a los objetivos que tiene Claudia con esta clase pude mejorar de manera extraordinaria mis habilidades en cuanto a la producción escrita, explica muy bien y siempre busca que los estudiantes escriban sobre los temas que les llamen la atención. Disfrute mucho de su clase.Pros: Se aprende paso por paso, en un ritmo muy adecuado.",4.5
