web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576042418-18092","https://losestudiantes.co/","Maria Del Pilar Azula CajalMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/maria-del-pilar-azula-cajal","La mejor profesora para entrenamiento auditivo. Es un poco rosquera a la inversa: si odia a alguien lo odia mucho, pero son muy pocos los que corren con ese mal.","5"
"1576042454-18116","https://losestudiantes.co/","Luis Hernando Pulido HurtadoMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/luis-hernando-pulido-hurtado","El maestro es un muy buen profesor, apasionado por la materia y hace que su CBU sea interesante incluso para personas que lo ven por ser un CBU fácil. Pros: - Sus parciales son fáciles
- Da bonos por ir a conciertos de la filarmónica o de la orquesta de la universidad que pueden dar un bono de 2.0 en cada parcial","5"
"1576042441-18107","https://losestudiantes.co/","Sandro Carrero SanchezMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/sandro-carrero-sanchez","es amable y gracioso, hace las clases faciles para aquellos que no saben mucho de musica y da pasion e interes al tema pero muchas veces es irresponsable, impuntual y arrogante. su metodo de calificacion es cuestionable en algunos casos","4"
"1576042463-18133","https://losestudiantes.co/","Martha Enna Rodriguez MeloMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/martha-enna-rodriguez-melo","Excelente profesora, la clase es demasiado interesante.","5"
"1576042409-18086","https://losestudiantes.co/","Catalina Sanchez BernalMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/catalina-sanchez-bernal","Su método de enseñanza es todo basado en lo que está en el libro. Se desarrollan los ejercicios en clase y se procura que todos participen. Siento que no enseña, sino que hace que cantemos o escribamos, y cuando algo falla dice ""tiene que estudiarlo para la próxima"", y el estudiante tiene que acudir a un monitor en caso de necesitar ayuda. Deja demasiadas tareas, valen muy poco, y son indispensables para avanzar.  Sin embargo, en las tareas que deja hay cosas que no se ven en clase y se califican.Pros: Hace un análisis de cómo está el curso, y entiende que hay gente con un recorrido musical previo, y que otros están empezando.","3.7"
"1576042454-18121","https://losestudiantes.co/","Luis Hernando Pulido HurtadoMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/luis-hernando-pulido-hurtado","Es buen profesor facil de entender la materia es dinámica es algo seco hace reir y algunas clases llega con un sombrero de vaquero muy gracioso, no toma asistencia Pros: Es un CBU fácil se aprende mucho si no eres conocedor del tema , parciales fáciles, es comprensivo (no con todos)
Se nota que tiene preferencias con ciertos estudiantes Cons: Para los bonos tienes que ir a los conciertos que por lo general son interesantes la primera hora luego se vuelven tediosos","4"
"1576042441-18112","https://losestudiantes.co/","Sandro Carrero SanchezMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/sandro-carrero-sanchez","Pros: Sabe sobre el negocio de la música. Sus variables y cosas a tener en cuenta.Cons: Llega tarde a clase. En todos sus distintos cursos realiza el mismo contenido de clase. Es desorganizado e irresponsable. No es honesto y no parece tener interés en dictar clase.","1.9"
"1576042358-18058","https://losestudiantes.co/","Juan Sebastian Bastos BaldrichMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/juan-sebastian-bastos-baldrich","El hombre es muy pilo y sabe muy bien lo que enseña. Es compensivo, se le puede hablar y pedir ayuda sin problemas. Buen profesor. Cons: Aveces le salen muchas cosas por fuera y uno pierde bastante clase.","5"
"1576042371-18063","https://losestudiantes.co/","Armando Jose Fuentes HernandezMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/armando-jose-fuentes-hernandez","Excelente profesor, le apasiona la música y le apasiona enseñar, busca que todos aprendan no solo de datos curiosos sino de historia de la música, sin embargo a veces su voz se vuelve arrulladora y la gente se duerme. Los parciales son virtuales y son fáciles siempre y cuando se lea el material, los informes son calificados ""suave"" y los foros más o menos, sin embargo al final elimina el peor parcial y el peor foro.Pros: Clase entretenida llena de datos curiososCons: Voz arrulladora","5"
"1576042456-18123","https://losestudiantes.co/","Rondy Felipe Torres LopezMúsica","https://losestudiantes.co/universidad-de-los-andes/musica/profesores/rondy-felipe-torres-lopez","Hace que el estudiante se interese a profundidad con los temas, ademas de mostrar los contenidos abiertamente a otras áreas conocimiento.","5"
