web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576033132-10846","https://losestudiantes.co/","Santiago Rey SalamancaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/santiago-rey-salamanca","El texto que se lee en clase, La Fenomenología del Espíritu, puede ser extremadamente difícil de entender para un estudiante de pregrado. Santiago, sin embargo, logra explicarlo de tan buena forma que cualquier estudiante puede llegar a navegar exitosamente este texto. Las únicas evidencias de la clase son tres ensayos que se elaboran en casa. Santiago es un excelente profesor y ninguna persona debería dudar nunca sobre si inscribir una clase con él.Pros: -Explica muy bien.
-Maneja muy bien el tema.
-Logra hacer comprehensible un tema muy difícil de penetrar.Cons: Absolutamente ninguno.","5"
"1576033154-10953","https://losestudiantes.co/","Sergio De ZubiríaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/sergio-de-zubiria","El mundo necesita clases como las de Sergio. Las reflexiones que realiza y el nivel de detalle con el que trata los temas de la clase hacen de él un gran pensador y logra transmitirlo. En mi concepto, es uno de los mejores profesores que he tenido en mi vida y su desligamiento con lo académico es para mí algo positivo también puesto que se preocupa porque te lleves algo más grande que una simple nota.","5"
"1576033123-10813","https://losestudiantes.co/","Andres Paez PeñuelaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/andres-paez-pe%C3%B1uela","Logra aterrizar la filosofía y convertirla en algo muy interesante dentro de la cotidianidad. Su metodología es muy buena y su oratoria también. Pros: Dinámica de clase","4.8"
"1576033123-10805","https://losestudiantes.co/","Andres Paez PeñuelaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/andres-paez-pe%C3%B1uela","La verdad la clase me pareció muy buena, fueron 4 ensayos en todo el semestre. Lo cual aseguraba que uno leyera y pensara todo respecto a cada tema. Habían 4 quices avisados y súper fáciles de las lecturas. Los debates de las clases eran interesantes. Pros: Muy claro. 
Ensayos interesantes.
Horario a buena hora. 
Se deja alta la nota. 
Cheveres las discusiones Cons: A veces sólo seguíamos el libro línea a línea.","5"
"1576033151-10926","https://losestudiantes.co/","Manuela Fernandez PintoFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/manuela-fernandez-pinto","El curso fue excelente, aprendí muchísimo. El único problema (si bien entiendo que Manuela tiene intenciones pedagógicas detrás de esto y que por cuestiones logísticas es más fácil calificar) es que todos los talleres son en grupo. Además de los roces usuales que se suelen presentar, esto puede ser perjudicial para la nota de alguno de sus integran...
Leer más...","4.5"
"1576033130-10843","https://losestudiantes.co/","Catalina Gonzalez QuinteroFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/catalina-gonzalez-quintero","Es un curso muy interesante. Catalina es muy querida y explica muy bien.","5"
"1576033135-10858","https://losestudiantes.co/","Brian Philip MarrinFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/brian-philip-marrin","El profesor es excelente, sabe de todo un poco aunque su fuerte es filosofía clásica. Pese a dominar medianamente bien el español se esfuerza por hacer la clase amena, escucha siempre las opiniones de los estudiantes y es amable respondiendo preguntas","4.5"
"1576033154-10937","https://losestudiantes.co/","Sergio De ZubiríaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/sergio-de-zubiria","sfdasdf","4"
"1576033154-10936","https://losestudiantes.co/","Sergio De ZubiríaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/sergio-de-zubiria","Sergio sabe muucho! Me encanta que se enfoque mucho en sus clases en ""calidad y no cantidad"". Uno lee pocas cosas de cada autor con él, pero uno las lee con detenimiento, con detalle y con una mirada crítica. Hacer esto hace que uno aprenda a leer como filósofo: uno sabe que todo se basa en la minusia, en el lenguaje y que leyendo así se puede saber mucho sin tener que leer cantidades. Él recomienda leer antes de clase pero uno lee las lecturas en clase. Además, como Alto Comisionado para la paz, mete mucho de lo que aprendió y de lo que hizo durante el proceso de paz en sus clases y uno aprende mucho sobre Colombia y la actualidad, y sobretodo uno aprende cómo aplicar la filosofía en la ""realidad"". Hay una cosa que me encanta de sus clases y es que siempre hace referencia a filósofos contemporáneos y latinoamericanos (muchos colombianos) y no tanto a los cánones, lo que permite tener una bibliografía extra muy interesante.","4.7"
"1576033149-10920","https://losestudiantes.co/","Tomas Andres Barrero GuzmanFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/tomas-andres-barrero-guzman","Sigue sin parecerme que los estudiantes de Lenguas tengamos que ver esta clase. Sin embargo, Tomás se esfuerza para que todos entiendan el tema, y ayuda con sus worksheets y sus presentaciones. Pros: Buena gente, entiende que muchos estábamos en la clase por obligaciónCons: Es difícil la clase si en verdad no te motivas a por lo menos entender","4.5"
"1576033123-10814","https://losestudiantes.co/","Andres Paez PeñuelaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/andres-paez-pe%C3%B1uela","Andrés es muy buen profesor, es claro, va a buen ritmo y está dispuesto a repetir los temas siempre que uno necesite. La clase se va poniendo más difícil al final del semestre, y es importante ir a clase para aprender y para pasar los parciales. No es necesario leer, porque Andrés explica toda la lectura en las clases. Es un buen profesor para esta materia que puede llegar a ser aburrida.","4.7"
"1576033151-10927","https://losestudiantes.co/","Manuela Fernandez PintoFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/manuela-fernandez-pinto","Manuela es excelente: dinámica, colaborativa, comprensiva. La materia en general es fácil, los talleres no son complejos y las entregas son interesantes pues uno escoge el tema sobre el cual las hace.Cons: Puede tornarse aburrida después de un tiempo, ya que tiene un tono de voz bajo, además de que es la hora del almuerzo.","4.2"
"1576033123-10819","https://losestudiantes.co/","Andres Paez PeñuelaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/andres-paez-pe%C3%B1uela","Andres era un profesor que intentaba que la mayoría de sus estudiantes entendieran los temas dictados en clase. Sin embrago su metodología era mala, ya que era una clase muy aburrida con contenido complejo para estar dirigida a estudiantes de los primeros semestres que la convertía en una materia tediosa y a la cual se le pierde el interés fácilmen...
Leer más...Pros: No toma asistencia

Cons: Lecturas complejas
Aburrida","3.7"
"1576033123-10816","https://losestudiantes.co/","Andres Paez PeñuelaFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/andres-paez-pe%C3%B1uela","La clase de lógica en sí no exige mucha dinámica ni creatividad, entonces Andrés es así: metódico y formal. Sabe del tema y lo explica bien. No tira tan duro en los parciales, es decir, pregunta lo que enseña. Pros: Es organizadoCons: Uno podría no ir a clase, todo lo que enseña está tal cual en el libro.","4"
"1576033126-10824","https://losestudiantes.co/","Nicolas Vaughan CaroFilosofía","https://losestudiantes.co/universidad-de-los-andes/filosofia/profesores/nicolas-vaughan-caro","Uno de mis profesores favoritos. Hace falta en el Departamento de filosofía.Pros: Divertido, juicioso y amable","5"
