web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576032592-10403","https://losestudiantes.co/","Fabio SanchezEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/fabio-sanchez","Él sabe mucho y sabe transmitir muy bien su conocimiento, aunque la dinámica puede llegar a hacer que la clase sea muy tediosa y monótona. A veces se enrreda en sus explicaciones, pero en términos generales si se pone atención en clase es muy lograble contestar los parciales y quices semanales.Pros: Está atento a las preguntas en clase.
Sabe mucho del tema.
Resume las lecturas en clase aunque haya muchas.Cons: Dinámica monótona. 
Comentarios sarcásticos.
Molesta mucho por celulares y compputadores.
No comparte las diapositivas","4"
"1576032233-10063","https://losestudiantes.co/","Valentina Chegwin DugandEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/valentina-chegwin-dugand","Excelente complementaria, explica muy bien, hace dinámica la clase. Le gusta que las personas se esfuercen para que mejoren en los trabajos que haya que entregar.Pros: Muy buena persona","5"
"1576032729-10575","https://losestudiantes.co/","Oscar Reinaldo Becerra CamargoEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/oscar-reinaldo-becerra-camargo","Me parece que Oscar es un profesor confuso, sin embargo la clase es buena. Es muy fácil, a pesar de que este semestre fuese más exigente, y por ende tal vez las calificaciones sean más duras. Sus apuntes en clase servian mucho para los parciales. Sus parciales eran difíciles, lo que colocaba la media de los mismos entre 3 y 3,2","4"
"1576032184-10000","https://losestudiantes.co/","Freddy Felipe Parra EscobarEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/freddy-felipe-parra-escobar","Es muy claro y amable. Hace quices fáciles y precisos para saber como va el estudiante. Un poco timido pero manejable. Explica muy bien y esta acorde a la clase magistral!Pros: Fácil de entenderle","3"
"1576032139-9841","https://losestudiantes.co/","Marc Hofstetter GasconEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/marc-hofstetter-gascon","Es necesario ver por lo menos una clase con Marc, si se quiere ser un economista integral.Pros: Su clase es muy interesante, el material de lectura es muy bueno y se nota que sabe mucho del tema","5"
"1576032325-10142","https://losestudiantes.co/","Diego AmadorEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/diego-amador","Es amable pero de vez en cuando se enreda con los temas.","3.5"
"1576032896-10793","https://losestudiantes.co/","Daniel Alberto Hernandez MontenegroEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/daniel-alberto-hernandez-montenegro","Es uno de los mejores complementarios que he tenido. Explica todo de manera sencillaPros: Es buena gente","4.9"
"1576032848-10743","https://losestudiantes.co/","Raul CastroEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/raul-castro","Raúl es un profesor muy amable y respetuoso, hace que la clase se vuelva amena e interesante. Explica las veces que sea necesario con el fin de que el estudiante aprenda. Hace muchos bonos e hizo curvas en todos los parciales. Sin embargo, así como sus curvas son generosas, los parciales también tienen su complejidad y son muy largos. Los conceptos de microeconomía los retienes ya que él relaciona todo a la vida real, no se queda solo en dictar teoría. En general, es un excelente profesor.","5"
"1576032896-10792","https://losestudiantes.co/","Daniel Alberto Hernandez MontenegroEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/daniel-alberto-hernandez-montenegro","El man explica muy bien pero es un poco bravo. Se salta muchos temas de los talleres. Si pregunta y nadie le responde no termina de hacer el punto. Pros: Explica demasiado bien Cons: Se salta temas y es bravo","4"
"1576032471-10318","https://losestudiantes.co/","Andres MoyaEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/andres-moya","Explica muy bien. Se interesa mucho en que los estudiantes aprendan.","4"
"1576032622-10483","https://losestudiantes.co/","Jose Alberto Guerra ForeroEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/jose-alberto-guerra-forero","Es un profesor que no es capaz de transmitir apropiadamente sus conocimientos a los estudiantes, lo intenta y trata de hacer su mejor esfuerzo pero no lo logra. NO  TOMEN NINGÚN CURSO CON EL.Cons: Enseña tal y como se le vienen las ideas a la cabeza, no como debería explicar a los estudiantes.
Parciales muy difíciles","2"
"1576032798-10675","https://losestudiantes.co/","Rachid LaajajEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/rachid-laajaj","Se nota que es un gran académico, se interesa realmente porque se capte su mensaje, es muy querido y siempre está disponible para resolver cualquir duda","4.1"
"1576032471-10291","https://losestudiantes.co/","Andres MoyaEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/andres-moya","De los mejores profesores que he tenido, sus explicaciones son claras y fáciles de comprender si se le presta atención. Muy recomendado. Pros: Brinda talleres de estudio con ejercicios similares a los del parcial.Cons: Los monitores no tienen contacto directo con los estudiantes, sin embargo los complementarios ayudan en gran parte.","4.7"
"1576032423-10248","https://losestudiantes.co/","Monica Beatriz Vargas MartinezEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/monica-beatriz-vargas-martinez","Mónica es una excelente profesora, es muy organizada, disciplinada, se esfuerza para que los estudiantes entiendan y siempre está dispuesta a ayudar a los estudiantes con cualquier duda. Esto no significa que sea fácil ver la materia con ella, requiere esfuerzo y dedicación. Pero ese esfuerzo vale la pena. Pensando Problemas definitivamente hay que verlo con Mónica","5"
"1576032366-10187","https://losestudiantes.co/","Ricardo Jose Salas DiazEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/ricardo-jose-salas-diaz","Es un profesor que explica muy bien las cosas. Lo hace de manera clara y concisa lo que ayuda a entender los conceptos. Además, es una persona carismática lo que hace que su clase sea más dinámica y entretenida.Pros: La materia se pasa fácil si trabajasCons: Hay que trabajar bastante","4.5"
"1576032435-10260","https://losestudiantes.co/","Carlos Andres Alape OspinaEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/carlos-andres-alape-ospina","A veces da pistas para el parcial! Explica muuuuy bien. Yo lo vi en la comple de Teoría y él básicamente suplantaba a Cano.Pros: Explica muy bien.","4.5"
"1576032784-10666","https://losestudiantes.co/","Johan Sebastian Melo MartinEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/johan-sebastian-melo-martin","muy querido ayuda siempre a los estudiantes y es un duro Pros: buen cuerpo ;)","5"
"1576032134-9800","https://losestudiantes.co/","Hernan VallejoEconomía","https://losestudiantes.co/universidad-de-los-andes/economia/profesores/hernan-vallejo","Es chevere, sabe mucho y el es chistoso como habla.Pros: Hace muchas curvasCons: No se aprende TANTO","4"
