web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
1576037497-12949,https://losestudiantes.co/,Jose Tiberio Hernandez PenalozaIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/jose-tiberio-hernandez-penaloza,"Es muy apasionado con la clase, pero suele ser desorganizado con las cosas en general. Los temas de la clase (los pocas que se ven) las suelen explicar los monitores y son muy poco tema, con excepción de sistemas numéricos, que explica pero toca estudiar también en la casa.
Los proyectos (sprints) los van a parir si su grupo es malo y en algunos ca...
Leer más...Pros: Las clases son graciosas.Cons: Se aprende poco.
Es muy desordenado.",3
1576037608-13603,https://losestudiantes.co/,Jaime Alberto Chavarriaga LozanoIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/jaime-alberto-chavarriaga-lozano,"Muy buen profesor, siempre esta atento a dudas e intenta hacer la clase interesante. No me gusto como se maneja la clase, siempre hay desorden en los temas y actividades. Se aprende muy poco en clase. Pros: Querido
Atento a dudas
Chistoso",4.5
1576037591-13482,https://losestudiantes.co/,Nestor Orlando Romero BohorquezIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/nestor-orlando-romero-bohorquez,"La clase es bastante entretenida aunque a veces va un poco rápido. Los parciales bastante sencillos y cortos, por lo que cada punto vale bastante. Hace un bono para cada parcial y ayuda mucho en todas las dudas que se tengan.Pros: Responde dudas, es muy amable y ayuda demasiado en todo las dudas que se tengan.Cons: A veces va muy rápido en la clases por lo que hay que estar pendiente para no perderse.",4.5
1576037559-13240,https://losestudiantes.co/,Christian Camilo Aparicio BaquenIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/christian-camilo-aparicio-baquen,"Christian es muy buen profesor, explica de manera detallada y clara los conceptos de la clase, sus clases son llamativas y para nada aburridas, estas pueden ir desde, alguno que otro meme dentro de sus presentaciones para liberar un poco el ambiente, hasta ordenar dulces para entender como funcionan las listas encadenadas.Pros: -Es muy claro con las notas.
-Da bonos en los niveles dificiles (Recursividad y bases de datos)
- Es amable y atiende dudas en su horario de oficina
-CONSEJO::Debes tomar muy bien apuntes o perdirle a algun compañero ellos, debido a que una buena parte del codigo importante esta en lo que se desarrolla en la clase, NO EN LA PRESENTACION.",5
1576037612-13630,https://losestudiantes.co/,Gloria Cristina Cortes BuitragoIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/gloria-cristina-cortes-buitrago,Pros: Las actividades en línea y las lecturas son interesantes y aplicables.Cons: Los examenes son de mucho cuidado.,5
1576037600-13511,https://losestudiantes.co/,Lizeth Andrea Herrera SuescunIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/lizeth-andrea-herrera-suescun,"Muy buena profesora. Las explicaciones son claras y precisas, conoce mucho del tema y siempre se preocupa porque todos entiendan. Es ordenada y realiza varias actividades y dinamicas que ayudan a comprender mejor los contenidos.Pros: Hace bonos y la clase es muy agradable.",4.5
1576037551-13175,https://losestudiantes.co/,Mario Eduardo Sanchez PucciniIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/mario-eduardo-sanchez-puccini,"Mario es un gran profesor, sus clases son interesantes y dinámicas, no es aburrido ir a ellas. Se preocupa por sus estudiantes y por que ellos aprendan. En una buena manera es critico, trata de ayudar dando ideas o corrigiendo errores en los Sprints.Pros: - Clase interesante y entretenida.
- Da buenos consejosCons: Se demora en subir las notas",5
1576037595-13491,https://losestudiantes.co/,Jorge Arturo Restrepo SarmientoIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/jorge-arturo-restrepo-sarmiento,"Es buen profesor, se nota que quiere que todos aprendan. Hace ejemplos muy buenos en clase y sus laboratorios son muy parecidos a los parciales.Pros: parciales muy logrables
sube las diapositivasCons: a veces sale con bromas pesadas",4
1576037659-13917,https://losestudiantes.co/,Rodrigo Cardoso RodriguezIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/rodrigo-cardoso-rodriguez,"Rodrigo es un doctor que sabe en extremo, durante su clase vimos unos algoritmos que nadie se lo hubiera pensado de esa manera, tiene una forma característica de estructurar los problemas y resolverlos. Pero le falta humanidad, es parco como persona, no responde las preguntas de los alumnos porque su respuesta es: ""trivial"", y a veces responde con ...
Leer más...Pros: Entiende su tema, sabe de todo un poco, es muy cultoCons: Diría que no prepara las clases, siempre que el videovid no funcionaba se estancaba por no tener sus presentaciones, se limitaba a mostrar lo que estaba en las notas, que no se entienden nada, se confundía a sí mismo al momento de hacer un ejemplo de un ejercicio.",2
1576037606-13583,https://losestudiantes.co/,Christian Fernando Ariza PorrasIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/christian-fernando-ariza-porras,"Christian es un amor de profesor... es muy querido y amable, está siempre en sus horarios de atención, los cuales son muy útiles para preguntar de algún tema que no se entendió bien o de los ejercicios. En casi todos los niveles da bonos, normalmente en los parciales teóricos.  Si la materia se le dificulta es importante que le muestre interés en l...
Leer más...Pros: Querido
Bonos
Parciales no muy fáciles pero lograblesCons: Va rápido",5
1576037638-13759,https://losestudiantes.co/,Lina Giseth Casas SalasIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/lina-giseth-casas-salas,"Es muy amable con todos, explica con paciencia y no le importa repetir si alguien no entiende.Pros: Es amable
repite si es necesario
da bonos
ofrece horarios de atencion extra pre-parcialCons: parciales un poco dificiles 
a veces es aburrida la clase",3.5
1576037603-13540,https://losestudiantes.co/,Silvia TakahashiIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/silvia-takahashi,"Pésima profesora, no le interesa que usted aprenda ni nada por el estilo. Se nota que sabe del tema pero igualmente es muy mala como profesora. Si pudiera le pondría calificación 0, no debería dar clases.Pros: Los quiz teoricos son basados en exámenes de semestres pasados, se puede dejar esta nota alta si se consiguen.Cons: Pésima educadora.
No le interesa que el estudiante aprenda.
Sus notas no están completas y no son claras.
Se trabaja sobre un programa el cual no esta actualizado y no esta disponible para todas las plataformas.
Sus parciales se nota que son hechos 5 minutos antes de entrar a clase, tienen graves problemas de escritura que no los hace claros y en general hay errores que hace que cambie el enunciado en mitad del examen por algo aun mas confuso.",1.5
1576037603-13561,https://losestudiantes.co/,Silvia TakahashiIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/silvia-takahashi,"La gente le da muy duro a la pobre Silvia, ella en realidad es muy buena profesora y sabe mucho del tema, lo que pasa es que la gente decide no poner atencion en clase porque ella jamas le va a decir algo por ponerse audifonos en primera fila, y eso propaga la vagancia y hae que usted no ponga atencion.Pros: Muy querida
Siempre dispuesta a ayudar
Cons: Dificil de encontrar por afuera de horarios de atencion o de clase",5
1576037603-13520,https://losestudiantes.co/,Silvia TakahashiIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/silvia-takahashi,"Es una de las peores profesoras que he tenido desde que entré a la universidad. Su metodología para enseñar (si tiene) es lenta y falta de motivación. No crea un ambiente de aprendizaje en clase porque es grosera cada vez que se le hace una pregunta. Su capacidad intelectual no se puede poner en duda, pero como profesora se quedó estancada. No prep...
Leer más...Pros: Responde correos electrónicos rápido Cons: Es irrespetuosa con los estudiantes, sin decir malas palabras.",1.5
1576037561-13262,https://losestudiantes.co/,Juan Pablo FernandezIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/juan-pablo-fernandez,"Es un profe con una muy buena actitud e inspira confianza, pero su explicación de los temas no tiende a ser muy profunda quedando con grandes vacíos para realizar los ejercicio de nivel, sus parciales son mucho mas complejos que en las otras secciones, no da bonos y su horario de atención es muy saturado por ser el coordinador de facultad Pros: Buena actitud 
Muy organizado
Dispuesto a colaborar Cons: Examenes teoricos complejos 
Explicacion no muy clara",4
1576037548-13160,https://losestudiantes.co/,Manuel Alejandro Camargo ChavezIngeniería de Sistemas,https://losestudiantes.co/universidad-de-los-andes/ingenieria-de-sistemas/profesores/manuel-alejandro-camargo-chavez,"Explica muy bien, parciales sencillos y acordes al tema, muy amable, tiene vocación para enseñar, busca que los estudiantes aprendan, es gracioso, sabe demasiado del tema y es muy profesional.Pros: Parciales sencillos y acordes al tema. Amable.
Explica muy bien.",5
